date,time,remark,Total number of passengers screened at airport,Total number of Active COVID 2019 cases across India *,Total number of Discharged/Cured COVID 2019 cases across India *,Total number of Migrated COVID-19 Patient *,Total number of Deaths due to COVID 2019 across India *,Passengers screened at airport,Active COVID 2019 cases *,Cured/discharged cases,Death cases,Migrated COVID-19 Patient,Active COVID 2019 cases #
19.03.2020,5:00 PM,"(*including foreign nationals, as on 19.03.2020 at 05:00 PM)",1431734.0,149.0,19.0,1.0,4.0,,,,,,
19.03.2020,5:00 PM,"(*including foreign nationals, as on 19.03.2020 at 05:00 PM)",1431734.0,149.0,19.0,1.0,4.0,,,,,,
20.03.2020,9:00 AM,"(*including foreign nationals, as on 20.03.2020 at 09:00 AM)",1431734.0,171.0,19.0,1.0,4.0,,,,,,
20.03.2020,5:00 PM,"(*including foreign nationals, as on 20.03.2020 at 05:00 PM)",1459993.0,196.0,22.0,1.0,4.0,,,,,,
21.03.2020,9:00 AM,"(*including foreign nationals, as on 21.03.2020 at 09:00 AM)",1459993.0,231.0,22.0,1.0,4.0,,,,,,
21.03.2020,4:45 PM,"(*including foreign nationals, as on 21.03.2020 at 04:45 PM)",1490303.0,256.0,22.0,1.0,4.0,,,,,,
22.03.2020,11:45 AM,"(*including foreign nationals, as on 22.03.2020 at 11:45 AM)",,,,,,1490303.0,295.0,23.0,5.0,1.0,
22.03.2020,6:30 PM,"(*including foreign nationals, as on 22.03.2020 at 06:30 PM)",,,,,,1517327.0,329.0,23.0,7.0,1.0,
23.03.2020,9:00 AM,"(*including foreign nationals, as on 23.03.2020 at 09:00 AM)",,,,,,1517327.0,359.0,23.0,7.0,1.0,
23.03.2020,10:30 AM,"(*including foreign nationals, as on 23.03.2020 at 10:30 AM)",,,,,,1517327.0,415.0,23.0,7.0,1.0,
23.03.2020,6:00 PM,"(*including foreign nationals, as on 23.03.2020 at 06:00 PM)",,,,,,1517327.0,402.0,23.0,7.0,1.0,
23.03.2020,08:15 PM,"(*including foreign nationals, as on 23.03.2020 at 08:15 PM)",,,,,,1517327.0,424.0,34.0,9.0,1.0,
24.03.2020,08:45 AM,"(*including foreign nationals, as on 24.03.2020 at 08:45 AM)",,,,,,1524266.0,446.0,36.0,9.0,1.0,
24.03.2020,08:15 PM,"(*including foreign nationals, as on 24.03.2020 at 08:15 PM)",,,,,,1524266.0,469.0,39.0,10.0,1.0,
25.03.2020,09:15 AM,"(*including foreign nationals, as on 25.03.2020 at 09:15 AM)",,,,,,1524266.0,512.0,40.0,9#,1.0,
25.03.2020,06:45 PM,"(*including foreign nationals, as on 25.03.2020 at 06:45 PM)",,,,,,1524266.0,553.0,42.0,10,1.0,
26.03.2020,10:15 AM,"(*including foreign nationals, as on 26.03.2020 at 10:15 AM)",,,,,,1524266.0,593.0,42.0,13,1.0,
26.03.2020,10:15 AM,"(*including foreign nationals, as on 26.03.2020 at 10:15 AM)",,,,,,1524266.0,593.0,42.0,13,1.0,
26.03.2020,08:00 PM,"(*including foreign nationals, as on 26.03.2020 at 08:00 PM)",,,,,,1524266.0,633.0,44.0,16,1.0,
27.03.2020,09:15 AM,"(*including foreign nationals, as on 27.03.2020 at 09:15 AM)",,,,,,1524266.0,640.0,66.0,17,1.0,
27.03.2020,09:15 AM,"(*including foreign nationals, as on 27.03.2020 at 09:15 AM)",,,,,,1524266.0,640.0,66.0,17,1.0,
27.03.2020,09:15 AM,"(*including foreign nationals, as on 27.03.2020 at 09:15 AM)",,,,,,1524266.0,640.0,66.0,17,1.0,
28.03.2020,09:30 AM,"(*including foreign nationals, as on 28.03.2020 at 09:30 AM)",,,,,,1524266.0,775.0,78.0,19,1.0,
28.03.2020,05:45 PM,"(*including foreign nationals, as on 28.03.2020 at 05:45 PM)",,,,,,1524266.0,819.0,79.0,19,1.0,
29.03.2020,10:00 AM,"(*including foreign nationals, as on 29.03.2020 at 10:00 AM)",,,,,,1524266.0,867.0,86.0,25,1.0,
29.03.2020,07:30 PM,"(*Including 48 foreign Nationals, as on 29.03.2020 at 07:30 PM)",,,,,,1524266.0,901.0,95.0,27,1.0,
30.03.2020,10:30 AM,"(*Including 49 foreign Nationals, as on 30.03.2020 at 10:30 AM)",,,,,,1524266.0,942.0,99.0,29,1.0,
30.03.2020,09:30 PM,"(*Including 49 foreign Nationals, as on 30.03.2020 at 09:30 PM)",,,,,,1524266.0,,101.0,32,1.0,1117.0
30.03.2020,09:30 PM,"(*Including 49 foreign Nationals, as on 30.03.2020 at 09:30 PM)",,,,,,1524266.0,,101.0,32,1.0,1117.0
